Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
Acer,Ultrabook,14.0,Full HD,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.5,32792
Dell,Notebook,14.0,Full HD,Apple M1,32,256GB SSD,Nvidia GTX 1650,Windows 10,1.95,91804
Apple,Notebook,16.0,Full HD,Intel Core i5,16,512GB SSD,AMD Radeon,macOS,1.99,119166
Acer,Gaming,15.6,Full HD,Apple M2,32,256GB SSD,AMD Radeon,Windows 11,2.22,95028
HP,Ultrabook,16.0,Full HD,AMD Ryzen 7,32,512GB SSD,Intel UHD,Linux,2.04,77910
HP,Workstation,14.0,Full HD,Apple M1,32,256GB SSD,Intel UHD,Linux,1.26,97521
MSI,Notebook,14.0,4K,Intel Core i5,16,512GB SSD,Nvidia GTX 1650,Linux,1.89,58509
HP,Workstation,14.0,Full HD,Apple M1,32,256GB SSD,Nvidia GTX 1650,Windows 10,1.59,91101
Dell,Gaming,15.6,4K,Apple M2,8,1TB SSD,Intel Iris,Windows 10,1.48,89180
Asus,Ultrabook,14.0,Full HD,AMD Ryzen 5,8,1TB SSD,Nvidia RTX 3050,Windows 10,1.56,74585
Lenovo,Workstation,16.0,Retina,Apple M2,32,512GB SSD,Nvidia GTX 1650,Windows 10,2.03,92239
Apple,Gaming,16.0,Retina,AMD Ryzen 7,32,512GB SSD,Intel UHD,macOS,2.11,127415
Asus,Notebook,13.3,Retina,AMD Ryzen 7,16,256GB SSD,Nvidia GTX 1650,Linux,1.47,70870
Acer,Gaming,15.6,Full HD,Apple M2,32,256GB SSD,Intel UHD,Linux,2.2,89930
HP,Workstation,13.3,Full HD,Apple M1,16,512GB SSD,Nvidia RTX 3050,Windows 10,2.48,112519
MSI,Gaming,16.0,Full HD,Apple M1,8,512GB SSD,Nvidia GTX 1650,Linux,2.23,70630
Dell,Notebook,16.0,Full HD,Apple M1,16,256GB SSD,Nvidia GTX 1650,Windows 10,2.18,88573
HP,Notebook,14.0,Full HD,Intel Core i7,32,512GB SSD,Nvidia GTX 1650,Windows 10,1.45,69797
Lenovo,Notebook,16.0,4K,Apple M1,32,256GB SSD,Nvidia RTX 3050,macOS,1.45,109314
HP,Gaming,14.0,Full HD,Intel Core i7,8,1TB SSD,Nvidia RTX 3050,Linux,2.17,96010
Acer,Ultrabook,15.6,Retina,AMD Ryzen 7,8,256GB SSD,Intel Iris,Windows 11,1.98,61633
Lenovo,Workstation,16.0,Full HD,Intel Core i5,32,256GB SSD,AMD Radeon,macOS,2.05,56480
Asus,Notebook,14.0,4K,AMD Ryzen 5,32,1TB SSD,Nvidia GTX 1650,macOS,1.35,59790
MSI,Workstation,15.6,Full HD,Apple M1,16,256GB SSD,Intel Iris,macOS,1.39,92073
Dell,Gaming,14.0,Full HD,Apple M2,8,256GB SSD,Nvidia GTX 1650,Windows 11,2.32,80457
Asus,Gaming,16.0,Retina,AMD Ryzen 7,32,1TB SSD,Nvidia GTX 1650,Windows 11,1.99,79180
Lenovo,Gaming,13.3,Full HD,AMD Ryzen 5,16,256GB SSD,Nvidia GTX 1650,Linux,2.3,52907
Asus,Ultrabook,16.0,4K,Intel Core i7,8,1TB SSD,Intel UHD,Linux,1.47,71022
Acer,Gaming,16.0,Retina,AMD Ryzen 7,8,1TB SSD,Nvidia GTX 1650,Windows 10,1.37,69367
Asus,Notebook,13.3,4K,Intel Core i5,32,1TB SSD,Nvidia GTX 1650,Linux,2.38,65255
Dell,Notebook,13.3,Retina,Apple M1,32,256GB SSD,Nvidia GTX 1650,Windows 10,2.0,96370
HP,Workstation,14.0,4K,Intel Core i7,16,512GB SSD,Intel UHD,macOS,2.39,70122
Acer,Notebook,13.3,Retina,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,2.47,68419
